rank,primary_brand,total_products,healthy_products,healthy_frac,avg_protein,avg_sugar
1,Sonoma Creamery,10,10,100.0,39.0,1.7
2,Beer Nuts,8,8,100.0,20.0,3.5
3,Baked In Brooklyn,6,6,100.0,12.8,2.9
4,Fisher Snack,6,6,100.0,18.5,3.6
5,Hillshire Snacking,6,6,100.0,19.7,0.6
6,Jennie-O,6,6,100.0,23.8,0.0
7,Nabisco-Triscuit,6,6,100.0,10.5,0.0
8,Old London,6,6,100.0,13.4,1.2
9,Giant Snacks  Inc.,5,5,100.0,27.3,3.3
10,David,14,13,92.9,21.4,3.9
11,Unique Snacks,8,7,87.5,9.6,2.6
12,New York Style,7,6,85.7,10.9,5.4
13,Ratio,7,6,85.7,18.0,4.7
14,Gardetto'S,13,11,84.6,10.5,4.0
15,Harvest Snaps,13,11,84.6,16.1,6.4
16,Pic-A-Nut,6,5,83.3,15.5,2.4
17,Sunshine,6,5,83.3,10.0,0.5
18,Triscuit,28,23,82.1,9.9,2.0
19,Baken-Ets,11,9,81.8,50.9,1.3
20,Diamond Of California,10,8,80.0,12.4,6.5
21,Hormel,10,8,80.0,16.0,2.5
22,Bob’S Red Mill,5,4,80.0,11.1,11.6
23,Feridies,5,4,80.0,24.3,6.4
24,International Nut Corporation,5,4,80.0,21.4,5.7
25,Koeze Company,5,4,80.0,25.1,4.1
26,Mariani Nut Company,5,4,80.0,18.8,4.2
27,Pop Secret,5,4,80.0,8.0,0.0
28,Riceland,5,4,80.0,8.0,0.0
29,Unique Pretzel Bakery  Inc.,5,4,80.0,9.6,3.5
30,Virginia Diner,5,4,80.0,23.6,6.8
31,Wild Bill'S,5,4,80.0,37.7,3.2
32,Wonderful Pistachios & Almonds Llc,5,4,80.0,21.0,4.2
33,Old Wisconsin,37,29,78.4,19.7,4.1
34,Nairn'S,9,7,77.8,10.0,5.6
35,Sesmark,9,7,77.8,9.9,0.4
36,Slim Jim,13,10,76.9,32.4,5.3
37,Mariani Nut Co.Inc.,8,6,75.0,17.7,4.3
38,Spitz,8,6,75.0,16.8,10.9
39,Starkist,8,6,75.0,17.2,4.7
40,Stacy'S,26,19,73.1,13.1,4.1
41,B&G Foods  Inc.,11,8,72.7,12.4,4.6
42,Off The Eaten Path,11,8,72.7,12.7,4.2
43,Hampton Farms,18,13,72.2,25.6,5.3
44,Northampton Peanut Co.,13,9,69.2,21.1,6.0
45,Hines Nut Company,24,16,66.7,12.8,19.8
46,Ancient Harvest,9,6,66.7,11.6,3.7
47,Ann'S House Of Nuts Inc.,9,6,66.7,15.0,18.7
48,De Notenshop,9,6,66.7,17.1,6.5
49,Life Smart,9,6,66.7,22.4,3.9
50,Gk Snacks,6,4,66.7,16.1,8.9
51,Superior Nut Co.Inc.,6,4,66.7,19.1,7.2
52,Arrowhead Mills,23,15,65.2,15.3,11.2
53,Cheez-It,45,29,64.4,8.9,1.6
54,Act Ii,14,9,64.3,7.2,0.2
55,Pure Protein,14,9,64.3,38.0,6.6
56,Kazidomi,19,12,63.2,14.4,9.6
57,Simply Nature,8,5,62.5,11.2,9.0
58,Stater Bros.,8,5,62.5,13.2,15.4
59,Diamond,39,24,61.5,12.4,9.2
60,The Virginia Diner  Inc.,18,11,61.1,19.8,17.1
61,Bob'S Red Mill,90,54,60.0,14.7,8.8
62,Eden,10,6,60.0,13.9,9.3
63,Bellino,5,3,60.0,8.8,11.4
64,Clic,5,3,60.0,17.3,2.9
65,Dakota Style Chips,5,3,60.0,20.0,4.8
66,Della,5,3,60.0,8.0,0.0
67,Krispy Kernels,5,3,60.0,20.1,9.3
68,Leader Price,5,3,60.0,20.4,3.6
69,Ramsey Popcorn Company  Inc.,5,3,60.0,7.6,0.0
70,Sabra,5,3,60.0,6.9,2.6
71,Saludviva,5,3,60.0,15.0,7.2
72,Simply M&S,5,3,60.0,7.0,16.9
73,Whole Earth,5,3,60.0,19.8,13.5
74,Yehuda Matzos,5,3,60.0,10.8,11.8
75,Open Nature,39,23,59.0,10.7,5.3
76,Fritolay,41,24,58.5,7.2,3.7
77,B&G Foods North America  Inc.,21,12,57.1,10.1,5.6
78,Cedar Phoenicia,7,4,57.1,12.0,1.4
79,Medford Farms,7,4,57.1,10.6,1.0
80,Tom'S,27,15,55.6,16.6,2.2
81,Cheez It,11,6,54.5,8.6,1.7
82,Industrias Alimenticias Noel,11,6,54.5,7.3,7.8
83,Zb Importing Inc.,11,6,54.5,9.3,14.4
84,Osem,13,7,53.8,10.0,12.8
85,Blue Diamond,56,30,53.6,17.8,7.0
86,Once Again,19,10,52.6,21.8,6.6
87,Fisher,103,52,50.5,16.5,12.9
88,Goldfish,28,14,50.0,8.9,6.7
89,Orville Redenbacher'S,22,11,50.0,6.7,1.7
90,Diamond Foods  Inc.,14,7,50.0,14.5,4.6
91,Zatarain'S,12,6,50.0,8.0,7.8
92,Kings Super Markets Inc,8,4,50.0,13.5,16.0
93,President’S Choice,8,4,50.0,11.2,14.7
94,Cock Brand,6,3,50.0,11.6,28.2
95,Fresh Express,6,3,50.0,5.5,4.2
96,Gold Shield Foods  Llc,6,3,50.0,12.4,3.9
97,Ka-Me,6,3,50.0,5.9,13.9
98,Pc Blue Menu,6,3,50.0,13.4,8.2
99,Riceselect,6,3,50.0,8.6,0.9
100,Kettle Brand,36,17,47.2,7.0,2.3
101,Que Pasa,17,8,47.1,7.0,2.0
102,Oberto,32,15,46.9,36.4,12.3
103,Woodstock,59,27,45.8,13.8,17.2
104,Central Market,22,10,45.5,12.4,10.3
105,Snyder'S Of Hanover,198,89,44.9,8.1,6.2
106,Streit'S,27,12,44.4,8.4,17.6
107,Jolly Time,18,8,44.4,7.6,6.4
108,Rw Garcia,18,8,44.4,7.2,4.1
109,Pop-Secret,9,4,44.4,5.5,0.5
110,Smart & Final Iris Corporation,9,4,44.4,11.5,23.0
111,Weaver Popcorn Company  Inc.,9,4,44.4,7.4,0.2
112,Alessi,16,7,43.8,7.3,9.4
113,George J. Howe Company,14,6,42.9,13.4,23.1
114,Uncle Ben'S,14,6,42.9,6.6,0.0
115,Excelsior,7,3,42.9,9.7,3.6
116,Minute Rice,7,3,42.9,6.1,0.6
117,Popcorners,7,3,42.9,7.4,4.7
118,Presidents Choice,7,3,42.9,8.0,19.9
119,Sabritas,7,3,42.9,11.4,2.2
120,Waymouth Farms  Inc.,7,3,42.9,12.5,22.8
121,Hodgson Mill,19,8,42.1,10.4,12.3
